Juan	Soto	LF	WSH	154	0.351	0.695	0.49	6
Freddie	Freeman	1B	ATL	214	0.341	0.64	0.462	2
Jose	Abreu	1B	CWS	240	0.317	0.617	0.37	0
Dominic	Smith	1B	NYM	177	0.316	0.616	0.377	0
Luke	Voit III	1B	NYY	213	0.277	0.61	0.338	0
Jose	Ramirez	3B	CLE	219	0.292	0.607	0.386	10
Wil	Myers	RF	SD	198	0.288	0.606	0.353	2
Mike	Trout	CF	LAA	199	0.281	0.603	0.39	1
DJ	LeMahieu	2B	NYY	195	0.364	0.59	0.421	3
Trea	Turner	SS	WSH	233	0.335	0.588	0.394	12
Corey	Seager	SS	LAD	212	0.307	0.585	0.358	1
Ronald	Acuna Jr.	CF	ATL	160	0.25	0.581	0.406	8
Manny	Machado	3B	SD	224	0.304	0.58	0.37	6
Teoscar	Hernandez	RF	TOR	190	0.289	0.579	0.338	6
Fernando	Tatis Jr.	SS	SD	224	0.277	0.571	0.366	11
Mike	Yastrzemski	CF	SF	192	0.297	0.568	0.4	2
AJ	Pollock	LF	LAD	196	0.276	0.566	0.314	2
Mookie	Betts	RF	LAD	219	0.292	0.562	0.366	10
Eloy	Jimenez	LF	CWS	213	0.296	0.559	0.332	0
Brandon	Lowe	2B	TB	193	0.269	0.554	0.362	3
Bryce	Harper	RF	PHI	190	0.268	0.542	0.418	8
George	Springer III	CF	TOR	189	0.265	0.54	0.356	1
Lourdes	Gurriel Jr.	LF	TOR	208	0.308	0.534	0.348	3
Adam	Duvall	LF	ATL	190	0.237	0.532	0.301	0
Tim	Anderson	SS	CWS	208	0.322	0.529	0.357	5
Kole	Calhoun	RF	ARI	190	0.226	0.526	0.338	1
Trevor	Story	SS	COL	235	0.289	0.519	0.355	15
Michael	Conforto	RF	NYM	202	0.322	0.515	0.412	3
Kyle	Tucker	LF	HOU	209	0.268	0.512	0.325	8
Ian	Happ	CF	CHC	198	0.258	0.505	0.359	1
Jeimer	Candelario	1B	DET	185	0.297	0.503	0.369	1
Xander	Bogaerts	SS	BOS	203	0.3	0.502	0.364	8
Anthony	Rendon	3B	LAA	189	0.286	0.497	0.418	0
Renato	Nunez	1B	BAL	195	0.256	0.492	0.324	0
J.T.	Realmuto	C	PHI	173	0.266	0.491	0.349	4
Pete	Alonso	1B	NYM	208	0.231	0.49	0.326	1
Didi	Gregorius	SS	PHI	215	0.284	0.488	0.338	3
Nick	Castellanos	RF	CIN	218	0.225	0.486	0.298	0
Brandon	Nimmo	CF	NYM	186	0.28	0.484	0.404	1
Rafael	Devers	3B	BOS	232	0.263	0.483	0.31	0
Robbie	Grossman	LF	OAK	166	0.241	0.482	0.344	8
Willy	Adames	SS	TB	185	0.259	0.481	0.332	2
Randal	Grichuk	CF	TOR	216	0.273	0.481	0.312	1
Miguel	Sano	1B	MIN	186	0.204	0.478	0.278	0
Alex	Verdugo	RF	BOS	201	0.308	0.478	0.367	4
Jake	Cronenworth	2B	SD	172	0.285	0.477	0.354	3
Chris	Taylor	SS	LAD	185	0.27	0.476	0.364	3
Eddie	Rosario	LF	MIN	210	0.257	0.476	0.316	3
Eugenio	Suarez	3B	CIN	198	0.202	0.47	0.312	2
Paul	Goldschmidt	1B	STL	191	0.304	0.466	0.416	1
Brandon	Crawford	SS	SF	172	0.256	0.465	0.326	1
Brian	Anderson	3B	MIA	200	0.255	0.465	0.345	0
Dansby	Swanson	SS	ATL	237	0.274	0.464	0.345	5
Donovan	Solano	2B	SF	190	0.326	0.463	0.365	0
Kevin	Pillar	CF	COL	208	0.288	0.462	0.336	5
Vladimir	Guerrero Jr.	1B	TOR	221	0.262	0.462	0.329	1
Christian	Walker	1B	ARI	218	0.271	0.459	0.333	1
Christian	Vazquez	C	BOS	173	0.283	0.457	0.344	4
Jesus	Aguilar	1B	MIA	188	0.277	0.457	0.352	0
Maikel	Franco	3B	KC	223	0.278	0.457	0.321	1
Trent	Grisham	CF	SD	215	0.251	0.456	0.349	10
Cody	Bellinger	CF	LAD	213	0.239	0.455	0.333	6
Jeff	McNeil	LF	NYM	183	0.311	0.454	0.383	0
Jackie	Bradley Jr.	CF	BOS	191	0.283	0.45	0.364	5
Tommy	La Stella	2B	OAK	196	0.281	0.449	0.368	1
Charlie	Blackmon	RF	COL	221	0.303	0.448	0.356	2
Asdrubal	Cabrera	1B	WSH	190	0.242	0.447	0.305	0
Joey	Votto	1B	CIN	186	0.226	0.446	0.354	0
Whit	Merrifield	RF	KC	248	0.282	0.44	0.325	12
Max	Kepler	RF	MIN	171	0.228	0.439	0.321	3
Kyle	Lewis	CF	SEA	206	0.262	0.437	0.364	5
Luis	Robert	CF	CWS	202	0.233	0.436	0.3	9
Nolan	Arenado	3B	COL	182	0.253	0.434	0.303	0
David	Peralta	LF	ARI	203	0.3	0.433	0.339	1
Kyle	Seager	3B	SEA	203	0.241	0.433	0.355	5
Andrew	McCutchen	LF	PHI	217	0.253	0.433	0.324	4
Cavan	Biggio	2B	TOR	220	0.25	0.432	0.374	6
Christian	Yelich	LF	MIL	200	0.205	0.43	0.356	4
Starling	Marte	CF	MIA	228	0.281	0.43	0.34	10
Jurickson	Profar	LF	SD	180	0.278	0.428	0.342	7
Rio	Ruiz	3B	BAL	185	0.222	0.427	0.284	1
Evan	Longoria	3B	SF	193	0.254	0.425	0.297	0
David	Fletcher	SS	LAA	207	0.319	0.425	0.374	2
Matt	Olson	1B	OAK	210	0.195	0.424	0.31	1
Yasmani	Grandal	C	CWS	161	0.23	0.422	0.351	0
Jean	Segura	2B	PHI	192	0.266	0.422	0.346	2
Ryan	McMahon	2B	COL	172	0.215	0.419	0.295	0
Orlando	Arcia	SS	MIL	173	0.26	0.416	0.317	2
Adalberto	Mondesi	SS	KC	219	0.256	0.416	0.292	24
Austin	Riley	3B	ATL	188	0.239	0.415	0.301	0
Francisco	Lindor	SS	CLE	236	0.258	0.415	0.335	6
Aaron	Hicks	CF	NYY	169	0.225	0.414	0.379	4
Anthony	Rizzo	1B	CHC	203	0.222	0.414	0.342	3
Keston	Hiura	2B	MIL	217	0.212	0.41	0.297	3
Ketel	Marte	2B	ARI	181	0.287	0.409	0.323	1
Cesar	Hernandez	2B	CLE	233	0.283	0.408	0.352	0
Willson	Contreras	C	CHC	189	0.243	0.407	0.356	1
Raimel	Tapia	LF	COL	184	0.321	0.402	0.364	8
Corey	Dickerson	LF	MIA	194	0.258	0.402	0.31	1
Nick	Ahmed	SS	ARI	199	0.266	0.402	0.327	4
Kyle	Schwarber	LF	CHC	191	0.188	0.393	0.308	1
Hanser	Alberto	2B	BAL	219	0.283	0.393	0.303	3
Hunter	Dozier	1B	KC	158	0.228	0.392	0.344	4
Victor	Reyes	CF	DET	202	0.277	0.391	0.315	8
J.D.	Davis	3B	NYM	190	0.247	0.389	0.371	0
Max	Muncy	1B	LAD	203	0.192	0.389	0.331	1
Yoan	Moncada	3B	CWS	200	0.225	0.385	0.32	0
Yuli	Gurriel	1B	HOU	211	0.232	0.384	0.274	0
Carlos	Correa	SS	HOU	201	0.264	0.383	0.326	0
Josh	Reddick	RF	HOU	188	0.245	0.378	0.314	1
Joey	Gallo	RF	TEX	193	0.181	0.378	0.301	2
Marcus	Semien	SS	OAK	211	0.223	0.374	0.305	4
Isiah	Kiner-Falefa	3B	TEX	211	0.28	0.37	0.329	8
Tommy	Edman	3B	STL	204	0.25	0.368	0.317	2
Ramon	Laureano	CF	OAK	183	0.213	0.366	0.338	2
Josh	Bell	1B	PIT	195	0.226	0.364	0.305	0
Adam	Frazier	2B	PIT	209	0.23	0.364	0.296	1
Javier	Baez	SS	CHC	222	0.203	0.36	0.238	3
Erik	Gonzalez	SS	PIT	181	0.227	0.359	0.254	2
Bryan	Reynolds	LF	PIT	185	0.189	0.357	0.274	1
Jorge	Polanco	SS	MIN	209	0.258	0.354	0.301	4
Carlos	Santana	1B	CLE	206	0.199	0.35	0.349	0
Evan	White	1B	SEA	182	0.176	0.346	0.252	1
Jose	Altuve	2B	HOU	192	0.219	0.344	0.286	2
Nick	Solak	LF	TEX	209	0.268	0.344	0.326	7
J.P.	Crawford	SS	SEA	204	0.255	0.338	0.336	6
Eduardo	Escobar	3B	ARI	203	0.212	0.335	0.27	1
Avisail	Garcia	CF	MIL	181	0.238	0.326	0.333	1
Kolten	Wong	2B	STL	181	0.265	0.326	0.346	5
Marwin	Gonzalez	3B	MIN	175	0.211	0.32	0.286	0
Victor	Robles	CF	WSH	168	0.22	0.315	0.291	4
Jonathan	Villar	2B	TOR	185	0.232	0.292	0.3	16
Nicky	Lopez	2B	KC	169	0.201	0.266	0.281	0