Shane	Bieber	P	CLE	12	77.1	21	1.63	12
Trevor	Bauer	P	CIN	11	73	17	1.73	11
Dallas	Keuchel	P	CWS	11	63.1	17	1.99	11
Yu	Darvish	P	CHC	12	76	14	2.01	12
Dinelson	Lamet	P	SD	12	69	20	2.09	12
Chris	Bassitt	P	OAK	11	63	17	2.29	11
Jacob	deGrom	P	NYM	12	68	18	2.38	12
Hyun Jin	Ryu	P	TOR	12	67	17	2.69	12
Kenta	Maeda	P	MIN	11	66.2	10	2.7	11
Zach	Davies	P	SD	12	69.1	19	2.73	12
Zac	Gallen	P	ARI	12	72	25	2.75	12
Gerrit	Cole	P	NYY	12	73	17	2.84	12
Kyle	Hendricks	P	CHC	12	81.1	8	2.88	12
Carlos	Carrasco	P	CLE	12	68	27	2.91	12
Zack	Wheeler	P	PHI	11	71	16	2.92	11
Brandon	Woodruff	P	MIL	13	73.2	18	3.05	13
Marco	Gonzales	P	SEA	11	69.2	7	3.1	11
Adam	Wainwright	P	STL	10	65.2	15	3.15	10
Luis	Castillo	P	CIN	12	70	24	3.21	12
Aaron	Nola	P	PHI	12	71.1	23	3.28	12
Dylan	Bundy	P	LAA	11	65.2	17	3.29	11
Lance	Lynn	P	TEX	13	84	25	3.32	13
Antonio	Senzatela	P	COL	12	73.1	18	3.44	12
Lucas	Giolito	P	CWS	12	72.1	28	3.48	12
Framber	Valdez	P	HOU	11	70.2	16	3.57	10
Max	Scherzer	P	WSH	12	67.1	23	3.74	12
German	Marquez	P	COL	13	81.2	25	3.75	13
Jose	Berrios	P	MIN	12	63	26	4	12
Zack	Greinke	P	HOU	12	67	9	4.03	12
Brady	Singer	P	KC	12	64.1	23	4.06	12
Kyle	Freeland	P	COL	13	70.2	23	4.33	13
Andrew	Heaney	P	LAA	12	66.2	19	4.46	12
Alec	Mills	P	CHC	11	62.1	19	4.48	11
Martin	Perez	P	BOS	12	62	28	4.5	12
Patrick	Corbin	P	WSH	11	65.2	18	4.66	11
Aaron	Civale	P	CLE	12	74	16	4.74	12
Jon	Lester	P	CHC	12	61	17	5.16	12
Kyle	Gibson	P	TEX	12	67.1	30	5.35	12
Johnny	Cueto	P	SF	12	63.1	26	5.4	12
Matthew	Boyd	P	DET	12	60.1	22	6.71	12